Row,Office,Department / Appropriation,2014-15 Available with Supplementals,2015-2016 Budget,$ Change,% Change,Notes
445,,,,,,,
446,Judiciary,,,,,,
447,,Supreme Court,,,,,
448,,Supreme Court,"$13,636","$13,636",$0,0.00%,
449,,Justices Expenses,$118,$118,$0,0.00%,
450,,Judicial Center Operations,$675,$675,$0,0.00%,
451,,Judicial Council,$141,$141,$0,0.00%,
452,,District Court Administrators,"$17,276","$17,276",$0,0.00%,
453,,Interbranch Commission,$308,$308,$0,0.00%,
454,,Court Management Education,$73,$73,$0,0.00%,
455,,Rules Committees,"$1,491","$1,491",$0,0.00%,
456,,Court Administrator,"$9,953","$9,953",$0,0.00%,
457,,Integrated Criminal Justice System,"$2,372","$2,372",$0,0.00%,
458,,Unified Judicial System Security,"$2,002","$2,002",$0,0.00%,
459,,Subtotal,"$48,045","$48,045",$0,0.00%,
460,,Superior Court,,,,,
461,,Superior Court,"$27,024","$27,024",$0,0.00%,
462,,Judges Expenses,$183,$183,$0,0.00%,
463,,Subtotal,"$27,207","$27,207",$0,0.00%,
464,,Commonwealth Court,,,,,
465,,Commonwealth Court,"$16,404","$16,404",$0,0.00%,
466,,Judges Expenses,$132,$132,$0,0.00%,
467,,Subtotal,"$16,536","$16,536",$0,0.00%,
468,,Courts of Common Pleas,,,,,
469,,Courts of Common Pleas,"$100,636","$100,636",$0,0.00%,
470,,Senior Judges,"$3,715","$3,715",$0,0.00%,
471,,Judicial Education,"$1,138","$1,138",$0,0.00%,
472,,Ethics Committee,$57,$57,$0,0.00%,
473,,Problem-Solving Courts,$103,$103,$0,0.00%,
474,,Subtotal,"$105,649","$105,649",$0,0.00%,
475,,Magisterial District Justices,,,,,
476,,Magisterial District Judges,"$73,522","$73,522",$0,0.00%,
477,,Magisterial District Judge Education,$671,$671,$0,0.00%,
478,,Subtotal,"$74,193","$74,193",$0,0.00%,
479,,Philadelphia Courts,,,,,
480,,Municipal Court,"$6,857","$6,857",$0,0.00%,
481,,Subtotal,"$6,857","$6,857",$0,0.00%,
482,,Judicial Conduct,,,,,
483,,Judicial Conduct Board,"$1,577","$1,577",$0,0.00%,
484,,Court of Judicial Discipline,$468,$468,$0,0.00%,
485,,Subtotal,"$2,045","$2,045",$0,0.00%,
486,,Reimbursement of County Costs,,,,,
487,,Jurors Cost Reimbursement,"$1,118","$1,118",$0,0.00%,
488,,County Courts Reimbursement,"$34,407","$34,407",$0,0.00%,
489,,Senior Judge Reimbursement,"$1,375","$1,375",$0,0.00%,
490,,Subtotal,"$36,900","$36,900",$0,0.00%,
491,,Judiciary Total,"$317,432","$317,432",$0,0.00%,
492,Legislature,,,,,,
493,,Senate,,,,,
494,,Senators' Salaries,"$7,365","$7,365",$0,0.00%,
495,,Senate President - Expenses,$308,$308,$0,0.00%,
496,,Employees of Chief Clerk,$784,"$2,604","$1,820",232.10%,
497,,Salaried Officers and Employees,"$10,418","$10,918",$500,4.80%,
498,,Incidental Expenses,$688,"$2,738","$2,050",298.00%,
499,,Expenses - Senators,$320,"$1,270",$950,296.90%,
500,,Legislative Printing and Expenses,"$1,726","$6,886","$5,160",299.00%,
501,,Committee on Appropriations (R) and (D),"$1,790","$2,560",$770,43.00%,
502,,Caucus Operations (R) and (D),"$41,214","$61,304","$20,090",48.70%,
503,,Subtotal,"$64,613","$95,953","$31,340",48.50%,
504,,House of Representatives,,,,,
505,,"Members' Salaries, Speaker's Extra Compensation","$27,663","$27,663",$0,0.00%,
506,,Caucus Operations (R) and (D),"$90,177","$98,927","$8,750",9.70%,
507,,Speaker's Office,$437,"$1,757","$1,320",302.10%,
508,,"Bi-Partisan Committee, Chief Clerk, Comptroller and EMS","$14,232","$14,402",$170,1.20%,
509,,"Mileage - Representatives, Officers and Employees",$311,$361,$50,16.10%,
510,,Chief Clerk and Legislative Journal,"$2,682","$2,712",$30,1.10%,
511,,Contingent Expenses (R) and (D),$678,$688,$10,1.50%,
512,,Incidental Expenses,"$1,531","$4,921","$3,390",221.40%,
513,,Expenses - Representatives,"$1,177","$4,127","$2,950",250.60%,
514,,Legislative Printing and Expenses,"$9,833","$10,363",$530,5.40%,
515,,National Legislative Conference - Expenses,$146,$496,$350,239.70%,
516,,Committee on Appropriations (R),"$2,659","$3,129",$470,17.70%,
517,,Committee on Appropriations (D),"$1,869","$3,129","$1,260",67.40%,
518,,Special Leadership Account (R),"$5,029","$5,869",$840,16.70%,
519,,Special Leadership Account (D),"$5,869","$5,869",$0,0.00%,
520,,Subtotal,"$164,293","$184,413","$20,120",12.20%,
521,,Legislature Total,"$228,906","$280,366","$51,460",22.50%,
522,,,,,,,
523,Government Support Agencies,,,,,,
524,,Legislative Reference Bureau,,,,,
525,,Legislative Reference Bureau - Salaries and Expenses,"$8,449","$8,449",$0,0.00%,
526,,Printing of PA Bulletin and PA Code,$801,$811,$10,1.20%,
527,,Subtotal,"$9,250","$9,260",$10,0.10%,
528,,,,,,,
529,,Legislative Miscellaneous and Commissions,,,,,
530,,Legislative Budget and Finance Committee,"$1,413","$1,750",$337,23.80%,
531,,Legislative Data Processing Center,"$9,163","$21,043","$11,880",129.70%,
532,,Joint State Government Commission,"$1,010","$1,430",$420,41.60%,
533,,Local Government Commission,$965,"$1,111",$146,15.10%,
534,,Local Government Codes,$20,$20,$0,0.00%,
535,,Joint Legislative Air and Water Pollution Control Committee,$405,$515,$110,27.20%,
536,,Legislative Audit Advisory Commission,$127,$247,$120,94.50%,
537,,Independent Regulatory Review Commission,"$1,869","$1,869",$0,0.00%,
538,,Capitol Preservation Committee,$717,$717,$0,0.00%,
539,,Capitol Restoration,"$1,869","$1,869",$0,0.00%,
540,,Commission on Sentencing,"$1,818","$1,818",$0,0.00%,
541,,Center For Rural Pennsylvania,$884,$884,$0,0.00%,
542,,Commonwealth Mail Processing Center,"$2,923","$2,923",$0,0.00%,
543,,Legislative Reapportionment Commission,$177,$707,$530,299.40%,
544,,Independent Fiscal Office,"$1,692","$1,692",$0,0.00%,
545,,Public Employee Retirement Commission*,$914,$914,$0,0.00%,*This budget proposes moving Public Employee Retirement Commission to Government Support Agencies
546,,,,,,,
547,,Subtotal,"$25,966","$39,509","$13,543",52.20%,
548,,Government Support Agencies Total,"$35,216","$48,769","$13,553",38.50%,
549,,,,,,,
550,,TOTAL,"$29,107,064","$29,884,351","$777,287",2.70%,
